Lead Service Address,x,y
105 CUSHING AV DORCHESTER,774466.8854139894,2939477.922881186
105 DORCHESTER ST SOUTH BOSTON,778873.6779975295,2947591.4854632914
105 KENRICK ST BRIGHTON,746228.4972708225,2951548.295539856
105 MYRTLE ST BOSTON,772830.1154482067,2956273.1867087185
105 NEPONSET AV DORCHESTER,776988.338256523,2932802.7289019227
106 BARTLETT ST CHARLESTOWN,773395.1743987501,2963464.8510003835
106 BELGRADE AV ROSLINDALE,755022.1895013303,2929502.5556844026
106 FLOYD ST DORCHESTER,768373.9573429525,2930369.533539146
106 H ST SOUTH BOSTON,780178.1253628433,2947126.704367906
106 OAKTON AV DORCHESTER,778086.236507386,2930103.8638583273
1069 SARATOGA ST EAST BOSTON,790194.684020415,2965870.2448790073
107 BEACON ST BOSTON,771576.8029878885,2954687.531991482
107 BELGRADE AV ROSLINDALE,755010.5915884823,2929636.2449757606
107 GLENVILLE AV ALLSTON,754657.7896843106,2952513.8861968964
107 LANARK RD BRIGHTON,751275.6520764828,2949414.3031641096
107 MONTCLAIR AV WEST ROXBURY,753702.461813271,2931798.598893374
107 STOUGHTON ST DORCHESTER,774638.4587409049,2940267.9436005354
107 TOWNSEND ST ROXBURY,767133.3843818754,2941129.2017294914
107 UNION ST BRIGHTON,750257.3576269746,2951349.082516551
107 WINTHROP ST ROXBURY,770498.9633926153,2943326.208766401
108 ADAMS ST DORCHESTER,774871.6109005958,2936531.497194499
108 CUSHING AV DORCHESTER,774518.7370235622,2939590.4705975205
108 DEVON ST ROXBURY,770375.2889135033,2937880.070880443
108 DRAPER ST DORCHESTER,773699.3187159896,2936493.222751513
108 GOODENOUGH ST BRIGHTON,749906.0236063302,2954233.9326969236
108 SPENCER ST DORCHESTER,770953.6770569235,2932226.419806555
1081 DORCHESTER AV DORCHESTER,775909.8521150947,2939677.710175365
109 BLUE HILL AV ROXBURY,770365.5976767242,2942344.091567397
109 CALUMET ST ROXBURY,763468.6846387982,2945934.4499955326
109 CHANDLER ST BOSTON,771444.0118452907,2951552.05173707
109 HAROLD ST DORCHESTER,767099.1836634427,2941094.987100348
109 HARRISHOF ST ROXBURY,767443.2284660339,2940818.4156475663
1095 SARATOGA ST EAST BOSTON,790510.635818541,2965729.5745223165
1096 BOYLSTON ST BOSTON,767435.7650615424,2951678.7127875835
11 1/2 JOY ST BOSTON,773755.2921328098,2956073.227042556
11 A FOREST ST ROXBURY,770041.5244365185,2944590.883564517
11 A MOUNT VERNON ST DORCHESTER,775349.4208987057,2942778.683977887
11 ALLSTON ST DORCHESTER,773409.915227443,2931856.8201013505
11 ASHFORD TER ALLSTON,757235.7460631132,2954593.3285855055
11 ASHTON ST DORCHESTER,767337.8214859217,2930411.9857346863
11 ATKINS ST BRIGHTON,745288.9553470165,2953528.8042723536
11 BAY STATE RD BOSTON,766092.2164725363,2952894.0764972568
11 BENNINGTON ST EAST BOSTON,780959.9327083826,2962021.088968888
11 BURGOYNE ST DORCHESTER,776262.9183229804,2929590.3671138585
11 CALDER ST DORCHESTER,767676.0679368973,2933543.307590589
11 CARROLL ST WEST ROXBURY,746173.3167651147,2929706.8331175596
11 CERDAN AV WEST ROXBURY,753349.9729003161,2932003.055049062
11 CERINA RD JAMAICA PLAIN,762349.4400833994,2939260.3561728895
11 CHASE ST DORCHESTER,775286.1265110672,2941334.3446514457
11 CLEMENTINE PARK DORCHESTER,773775.9241520464,2931942.7018718123
11 CONGREVE ST ROSLINDALE,754481.6073724777,2930336.700305119
11 CRANSTON ST JAMAICA PLAIN,761758.1222267598,2942361.478154838
11 DITSON ST DORCHESTER,774268.4259888977,2934859.4118381143
11 DURLAND ST BRIGHTON,746519.000311181,2954704.4716213793
11 EASTBURN ST BRIGHTON,748953.2060156912,2952174.0209612995
11 EASTON ST ALLSTON,756177.1195934862,2956625.1228216887
11 EDGEWOOD ST ROXBURY,769581.1028402895,2941345.5954010785
11 EDISON GRN DORCHESTER,775861.6871491373,2941869.255137235
11 ELM LAWN DORCHESTER,774985.2001066208,2932707.168293372
11 FAWNDALE RD ROSLINDALE,758165.8211361468,2931023.53794536
11 GASTON ST ROXBURY,769066.1645216942,2939530.2916066945
11 GLADE AV JAMAICA PLAIN,764137.5810772032,2937467.021641463
11 GLEASON ST ROXBURY,769440.4832879603,2933496.3867269754
11 GREYCLIFF RD BRIGHTON,747808.8734740615,2949339.099384442
11 GROOM ST DORCHESTER,773385.4746945798,2942067.8046796024
11 HALF MOON ST DORCHESTER,772040.3109498471,2940754.6873059124
11 HAVRE ST EAST BOSTON,780257.4373414665,2960132.5491571277
11 HIGHGATE ST ALLSTON,755623.7852643132,2954711.1992696673
11 HIGHLAND AV ROXBURY,766356.2546676397,2945074.0827575624
11 ISABELLA ST BOSTON,772412.0855661035,2952444.7326738536
11 ISLINGTON ST ALLSTON,754332.7708174437,2953773.598496318
11 KENBERMA RD DORCHESTER,771736.5960505456,2933155.808718115
11 LEE HILL RD ROSLINDALE,757237.8601903766,2930534.5168129653
11 LOCUST ST DORCHESTER,776161.8660035133,2943132.169624254
11 MERLIN ST DORCHESTER,771188.5895276964,2933116.600744754
11 MEYER ST ROSLINDALE,760296.2012603879,2930527.1562268436
11 MILLET ST DORCHESTER,770375.015839994,2933321.759694293
11 MOHAWK ST SOUTH BOSTON,776262.8829413652,2945190.879896924
11 NEWPORT ST DORCHESTER,776751.900444895,2941425.906229973
11 OAKLEY ST DORCHESTER,772183.1713379622,2935115.4301998913
11 PEARL ST DORCHESTER,775870.0819671452,2940163.6661105305
11 PRICE RD ALLSTON,754797.5567513406,2952773.591504663
11 PRISCILLA RD BRIGHTON,750133.003336966,2950853.5916890204
11 ROCK TER ROXBURY,772109.1889801174,2937060.2633750737
11 ROYCE RD ALLSTON,755695.0175329894,2952420.32238169
11 SARATOGA ST EAST BOSTON,780861.4889515936,2962254.953901857
11 THANE ST DORCHESTER,770951.3845095336,2933143.31689021
11 TILESTON ST BOSTON,776836.1764342338,2958508.70860216
11 TORREY ST DORCHESTER,772002.7217611074,2930254.0300968885
11 WABON ST ROXBURY,768416.0959424376,2939908.7527439
11 WADSWORTH ST ALLSTON,757118.4475329816,2954600.9909737855
11 WALLINGFORD RD BRIGHTON,750485.5270267129,2949662.222764313
11 WELLINGTON ST BOSTON,769269.4751597047,2949812.2362873405
11 WHEATLAND AV DORCHESTER,771796.5972260535,2932423.561039582
11 WHITBY TER DORCHESTER,775000.4595632851,2939915.3086250126
11 WILSON PARK BRIGHTON,751775.5054272413,2949479.958443105
11 WINTHROP ST ROXBURY,769072.1933074296,2944209.5308116823
110 BAYSWATER ST EAST BOSTON,790641.8571664542,2965299.1383934915
110 EVERETT ST EAST BOSTON,782159.9108576626,2959205.0769010633
110 HAROLD ST DORCHESTER,767162.1726200134,2940944.8477759957
110 HOWLAND ST ROXBURY,767079.0826708823,2939811.368016392
110 MOUNT PLEASANT AV ROXBURY,770630.7212105244,2943867.314059347
110 PAUL GORE ST JAMAICA PLAIN,762689.946421802,2941420.416938305
110 SAWYER AV DORCHESTER,774194.5512879491,2939560.5870412737
111 MOUNT IDA RD DORCHESTER,774348.7377250195,2935735.2644307762
111 N ST SOUTH BOSTON,782864.0222875178,2947247.1025696844
111 PINCKNEY ST BOSTON,772351.8013376445,2956104.892380789
111 SHERIDAN ST JAMAICA PLAIN,762683.0533569008,2941544.279514551
111 STRATTON ST DORCHESTER,768541.5627877712,2930456.02042599
1111 BLUE HILL AV DORCHESTER,766815.2292464375,2929694.425358802
1111 BOYLSTON ST BOSTON,766913.5741161257,2951703.610559821
112 BROOKSIDE AV JAMAICA PLAIN,762854.3336514384,2938556.1691412777
112 CHARLES ST BOSTON,772145.003342241,2956126.0257908106
112 GLENWAY ST ROXBURY,769414.4393932521,2934467.4500433058
112 HUTCHINGS ST ROXBURY,766469.0939043313,2938812.0834750384
112 PEMBROKE ST BOSTON,770490.8126170337,2950157.1613966674
112 STATE ST BOSTON,776445.4901920855,2956264.8018701375
112 TALBOT AV DORCHESTER,769127.9949570894,2932240.7000693977
1120 WASHINGTON ST BOSTON,773706.8752618283,2950704.0819760263
1124 BENNINGTON ST EAST BOSTON,790736.1204490215,2966910.648908302
1125 SARATOGA ST EAST BOSTON,790908.1386166215,2965538.6928115487
1126 DORCHESTER AV DORCHESTER,775937.9154836833,2939119.333512053
113 HARRISHOF ST DORCHESTER,767387.533868447,2940840.3694877476
113 KILSYTH RD BROOKLINE,751738.3320481032,2949320.2718277127
113 LASELL ST WEST ROXBURY,746281.3462186456,2930377.938639
113 WILLOW ST WEST ROXBURY,749847.3847742975,2930886.4444585294
114 ALBAN ST DORCHESTER,773243.5287851989,2930533.009616524
114 DRAPER ST DORCHESTER,773664.4233686924,2936566.704323381
114 FENWAY BOSTON,766574.2689382732,2949666.806044638
114 NORWELL ST DORCHESTER,770182.8676487654,2934096.254234016
114 SAXTON ST DORCHESTER,776828.1584153175,2940348.9747628868
114 WHITE ST EAST BOSTON,782519.0965733677,2964114.7039634585
1140 SARATOGA ST EAST BOSTON,791127.4299519658,2965600.406215444
115 BIGELOW ST BRIGHTON,746258.0799321234,2954846.1743955463
115 DUNSTER RD JAMAICA PLAIN,759014.0325203687,2939276.5019844472
115 HUTCHINGS ST ROXBURY,766517.0499070585,2938998.9250284284
115 KILSYTH RD BROOKLINE,751687.5890625566,2949304.0981947184
115 RADCLIFFE ST DORCHESTER,770298.2833929956,2933761.803595558
115 TONAWANDA ST DORCHESTER,772487.2826928198,2933932.394099757
115 TRENTON ST EAST BOSTON,781859.0083433539,2963593.2300250083
115 UNION ST BRIGHTON,750088.2906491905,2951406.7218934745
1151 COMMONWEALTH AV ALLSTON,756858.4788287133,2953110.8959578723
116 ENGLEWOOD AV BRIGHTON,750734.8476784825,2948173.9588227123
116 PRINCE ST JAMAICA PLAIN,758227.0990739614,2939485.5761972666
116 STOUGHTON ST DORCHESTER,774890.3029790074,2940273.7428593636
116 VICTORY RD DORCHESTER,777833.9528719336,2933870.651059985
1163 COMMONWEALTH AV ALLSTON,756664.585144341,2953099.4985408634
117 ACADEMY HILL RD BRIGHTON,749363.6829808354,2951066.1880360395
117 ADDISON ST EAST BOSTON,786631.2144121379,2965841.823460549
117 BUTTONWOOD ST DORCHESTER,776316.6282234937,2942870.2150132954
117 DEVON ST ROXBURY,770470.5316923112,2937620.6014501154
117 DRAPER ST DORCHESTER,773762.8988782167,2936654.222720474
117 HILLSIDE ST ROXBURY,763054.8309972286,2945921.150438562
117 WEST SEVENTH ST SOUTH BOSTON,776896.9690088332,2947726.027844757
118 ELM ST CHARLESTOWN,774558.4224975556,2963918.6955469996
118 F ST SOUTH BOSTON,778231.6664476842,2947923.770262882
118 HOMES AV DORCHESTER,773511.3219678998,2936009.4765042216
118 MOUNT VERNON ST BOSTON,772366.7396380901,2955661.8706779033
1180 MASSACHUSETTS AV DORCHESTER,773971.5294599831,2943496.64867191
1185 DORCHESTER AV DORCHESTER,775709.0971185565,2938383.155449882
119 BRAINERD RD ALLSTON,754718.2242090404,2951558.562559545
119 LANARK RD BRIGHTON,751094.7413289696,2949381.801065743
119 MILLET ST DORCHESTER,770733.677484408,2931758.959082842
119 SEDGWICK ST JAMAICA PLAIN,761411.2305647731,2937571.810804099
119 TONAWANDA ST DORCHESTER,772436.8590490669,2933913.813004717
12 ADELLA PL ALLSTON,754512.222753644,2953642.6196787953
12 ARLINGTON ST BOSTON,771843.0018809438,2954310.1486327946
12 ATLANTIC ST SOUTH BOSTON,778905.4503878355,2947123.1477593035
12 BICKFORD AV ROXBURY,763581.356946826,2944460.7221530825
12 BOYD ST DORCHESTER,772998.5727735013,2934720.2462586015
12 BRADLEE ST DORCHESTER,771659.1148438305,2933641.5420817435
12 BREWER ST JAMAICA PLAIN,759940.0272158831,2938640.9546864033
12 CARMEN ST DORCHESTER,770287.1593519002,2934759.554026261
12 CHEEVER CT EAST BOSTON,781803.4679733366,2958890.2736446857
12 DUNMORE ST ROXBURY,771206.3450516462,2944144.7933378965
12 EASTBURN ST BRIGHTON,749030.616459161,2952108.9865238518
12 EDGEMONT ST ROSLINDALE,753151.5379702002,2930312.4527079314
12 GERALD RD BRIGHTON,747946.6803389937,2949335.688536018
12 HALLAM ST DORCHESTER,776237.4278330654,2939920.607097879
12 HANSBOROUGH ST DORCHESTER,766804.7907619774,2930183.818149388
12 HARTFORD ST DORCHESTER,771631.5546804816,2941040.6808532476
12 LARCHMONT ST DORCHESTER,773033.105837211,2933565.4292666614
12 LINDEN ST SOUTH BOSTON,779161.675898388,2947117.9572457373
12 LOUISBURG SQ BOSTON,772626.2184430361,2955919.2882768065
12 MARCELLA ST ROXBURY,765984.4304566383,2942281.536867276
12 MCLELLAN ST ROXBURY,768423.7785920054,2934980.413644254
12 MELLEN ST DORCHESTER,773165.3647435158,2929428.0447191447
12 MITCHELL ST SOUTH BOSTON,777207.160558626,2946512.714152068
12 NOTTINGHILL RD BRIGHTON,750847.7204823494,2950625.5033343583
12 PARKER ST CHARLESTOWN,770006.0596568733,2965060.429505378
12 PAUL GORE ST JAMAICA PLAIN,761629.099377647,2942116.599256918
12 PENHALLOW ST DORCHESTER,774401.4139984548,2932901.0937304795
12 PINEHURST ST ROSLINDALE,755503.6105412841,2929513.7287154347
12 ROYCE RD ALLSTON,755828.5894904435,2952488.6639419645
12 SACHEM ST ROXBURY,763021.0630232096,2945997.221219063
12 SAWYER AV DORCHESTER,775252.4849431664,2939302.9030218124
12 SCHOOL ST DORCHESTER,771621.0145872831,2933334.547578633
12 SHAFTER ST DORCHESTER,770608.6479195803,2934192.6936372668
12 SUTHERLAND RD BRIGHTON,750648.8065395504,2947970.1195772886
12 THWING ST ROXBURY,765823.5550793707,2943241.6098063886
12 UPHAM AV DORCHESTER,773829.9660954326,2940308.3276346773
12 WASHINGTON ST CHARLESTOWN,774048.79746975,2961116.1523840576
12 WOODBINE ST ROXBURY,769607.4966198802,2941761.852573395
