,NAME,tot_pop,med_income,pov_stat_pop,below_pov_line_prev_yr,state,county,pov_rate,GEOID
0,"Harrison County, Indiana",39450,27080,38900,5005,18,061,12.87,18061
1,"Huntington County, Indiana",36520,26081,34889,4057,18,069,11.63,18069
2,"LaPorte County, Indiana",110839,25595,102126,16924,18,091,16.57,18091
3,"Wabash County, Indiana",31848,25451,29935,3993,18,169,13.34,18169
4,"White County, Indiana",24279,27016,23904,2342,18,181,9.8,18181
5,"Jasper County, Indiana",33448,26602,32373,2898,18,073,8.95,18073
6,"Jay County, Indiana",21107,23821,20693,3705,18,075,17.9,18075
7,"Martin County, Indiana",10219,26928,9971,1330,18,101,13.34,18101
8,"Porter County, Indiana",167391,31449,163173,17954,18,127,11.0,18127
9,"Shelby County, Indiana",44339,30183,43412,4623,18,145,10.65,18145
10,"Ripley County, Indiana",28372,27822,27855,2916,18,137,10.47,18137
11,"Spencer County, Indiana",20610,28653,20319,1964,18,147,9.67,18147
12,"Sullivan County, Indiana",20900,22533,18769,2934,18,153,15.63,18153
13,"Tipton County, Indiana",15290,30509,15031,1414,18,159,9.41,18159
14,"Tippecanoe County, Indiana",186081,22813,169937,35575,18,157,20.93,18157
