,lat,long,pct_lsl_calc
0,38.961643,-84.953909,
1,39.994865,-86.620247,0.0
2,41.03847,-86.032879,
3,40.299449,-85.235016,
4,41.395604,-85.424424,
5,40.26332,-85.672938,19.68
6,38.662549,-87.046118,
7,40.490036,-87.516964,
8,41.337728,-86.445163,
9,39.496644,-85.46909,0.0
10,40.11052,-85.720973,25.0
11,40.862545,-85.601646,
12,37.947392,-86.769278,
13,41.635098,-84.999853,13.62
14,40.723864,-86.286764,
15,39.73609,-86.262283,
16,41.04037,-85.232577,
17,39.916363,-86.070166,
18,40.17587,-86.021652,4.29
19,41.235849,-86.247098,
20,39.937117,-85.960609,
21,41.527998,-85.071786,0.0
22,40.215315,-86.026375,0.0
23,40.29303,-87.246764,
24,41.373216,-85.069559,2.86
25,39.05719,-84.899759,0.62
26,40.167486,-85.479632,
27,41.472644,-87.030529,
28,41.33199,-85.849992,
29,41.365882,-85.238863,
30,39.25,-86.45,0.0
31,39.762233,-86.817696,
32,39.521386,-86.168272,0.0
33,39.298127,-85.224191,
34,40.508369,-86.841676,
35,39.281968,-86.765401,
36,38.860165,-86.486821,
37,41.61362,-86.896071,
38,41.350458,-85.11723,
39,40.656404,-84.951093,8.55
40,38.773856,-87.306442,13.29
41,40.122718,-85.946149,
42,39.64449,-86.864732,
43,38.29903,-86.688651,0.0
44,39.832555,-87.250557,
45,41.23582,-85.372481,
46,41.257772,-85.36041,
47,39.661576,-86.185347,0.0
48,38.357461,-86.297153,0.0
49,40.557585,-85.658699,
50,40.737109,-85.157246,25.43
51,38.466728,-85.945804,
52,40.51916,-87.383654,
53,41.297115,-86.11583,
54,39.523675,-87.125024,1.51
55,41.446236,-86.147114,
56,41.53042,-87.410057,
57,41.716605,-85.790839,
58,41.721439,-85.817495,
59,40.866426,-87.363637,0.0
60,39.53879,-86.369974,0.0
61,40.602594,-86.865996,
62,39.426174,-85.010984,2.8
63,39.269419,-86.2497,0.0
64,39.844136,-86.396312,28.57
65,38.759491,-87.415574,
66,39.485004,-87.189006,
67,40.660318,-86.10277,
68,40.47005,-86.163792,100.0
69,38.954649,-85.667403,
70,41.426572,-84.873809,
71,39.87738,-85.426821,
72,39.814312,-85.172035,
73,40.608649,-86.540001,0.0
74,39.353888,-85.966788,
75,38.651141,-86.261766,0.0
76,38.880528,-85.241196,0.0
77,40.452921,-86.968955,
78,37.912528,-86.742439,
