,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
114,39.276161,-87.113012,543,,,,,
115,41.129523,-85.880045,168,,,,,
116,40.727477,-86.777343,15,,,,,
117,41.590552,-86.280217,227,,,,,
118,39.658985,-87.464104,840,830.0,0.0,830.0,,0.0
119,39.660954,-87.39927,1954,1964.0,0.0,500.0,1464.0,0.0
120,39.514768,-86.793897,1020,,,,,
121,41.666969,-85.064156,18,,,,,
122,41.708332,-86.061797,349,,,,,
123,40.193802,-86.667924,269,247.0,0.0,247.0,0.0,0.0
124,41.698393,-86.778175,59,,,,,
125,41.156811,-85.474818,3908,3818.0,1267.0,2000.0,551.0,33.18
126,39.2,-85.92,14230,15000.0,2000.0,12000.0,1000.0,13.33
127,39.641159,-85.141075,5883,5920.0,350.0,5570.0,3700.0,5.91
128,40.843376,-85.531075,476,,,,,
129,39.31854,-86.115538,1356,1348.0,0.0,1248.0,100.0,0.0
130,41.437272,-85.147193,94,100.0,0.0,100.0,,0.0
131,38.210999,-86.12753,2300,,,,,
132,40.805192,-84.955112,38,,,,,
133,40.274867,-85.432009,100,100.0,,100.0,,
134,40.98512,-85.090865,250,0.0,0.0,250.0,0.0,
135,40.278539,-86.483079,60,,,,,
136,39.617641,-86.437274,511,,,,,
137,41.051105,-86.229424,28,,,,,
138,39.807889,-84.887116,22,22.0,,22.0,,
139,40.116589,-85.472695,17,,,,,
140,39.47753,-86.08003,20,,,,,
141,39.528874,-87.104773,36,2.0,,2.0,,
142,40.151221,-85.369925,68,60.0,0.0,55.0,5.0,0.0
143,40.241307,-85.455881,147,,,,,
144,40.380081,-85.653725,38,,,,,
145,40.146306,-87.40049,1247,1258.0,,,1258.0,
146,38.836498,-86.898805,125,,,,,
147,38.342505,-86.354587,960,,,951.0,,
148,41.457827,-86.307881,42,,,,,
149,41.174742,-86.048577,58,,,,,
150,40.756121,-86.395374,47,,,,,
151,41.400604,-85.615818,235,,,,,
152,41.521659,-87.378177,42,45.0,0.0,45.0,0.0,0.0
153,38.795334,-85.840883,750,,,,,
154,41.424426,-87.345938,13048,,,,,
155,41.225093,-86.404714,50,,,,,
156,41.217726,-86.422523,850,,,,,
